,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
402,2018,4,San Luis,96040,291,96331
403,2018,4,Santa Cruz,24443,325,24768
404,2018,4,Santa Fe,720161,229,720390
405,2018,4,Santiago Del Estero,89333,2,89335
406,2018,4,Tierra Del Fuego,45716,544,46260
407,2018,4,Tucumán,171972,32,172004
408,2018,3,Buenos Aires,3599714,10563,3610277
409,2018,3,Capital Federal,1385804,6686,1392490
410,2018,3,Catamarca,34215,11,34226
411,2018,3,Chaco,102021,12,102033
412,2018,3,Chubut,101310,2426,103736
413,2018,3,Córdoba,725764,94,725858
414,2018,3,Corrientes,99445,11,99456
415,2018,3,Entre Ríos,204560,48,204608
416,2018,3,Formosa,44865,0,44865
417,2018,3,Jujuy,44934,1,44935
418,2018,3,La Pampa,83180,244,83424
419,2018,3,La Rioja,51855,17,51872
420,2018,3,Mendoza,205545,1484,207029
421,2018,3,Misiones,108042,0,108042
422,2018,3,Neuquén,114713,2005,116718
423,2018,3,Río Negro,112433,1059,113492
424,2018,3,Salta,132882,1,132883
425,2018,3,San Juan,63823,658,64481
426,2018,3,San Luis,74121,300,74421
427,2018,3,Santa Cruz,33565,434,33999
428,2018,3,Santa Fe,694883,217,695100
429,2018,3,Santiago Del Estero,86358,2,86360
430,2018,3,Tierra Del Fuego,45056,508,45564
431,2018,3,Tucumán,171135,31,171166
432,2018,2,Buenos Aires,3490134,10565,3500699
433,2018,2,Capital Federal,1362498,6688,1369186
434,2018,2,Catamarca,34078,11,34089
435,2018,2,Chaco,98509,12,98521
436,2018,2,Chubut,98137,2427,100564
437,2018,2,Córdoba,712979,94,713073
438,2018,2,Corrientes,97946,11,97957
439,2018,2,Entre Ríos,199937,48,199985
440,2018,2,Formosa,44554,0,44554
441,2018,2,Jujuy,45132,1,45133
442,2018,2,La Pampa,82177,244,82421
443,2018,2,La Rioja,51931,17,51948
444,2018,2,Mendoza,199468,1484,200952
445,2018,2,Misiones,106147,0,106147
446,2018,2,Neuquén,113842,2006,115848
447,2018,2,Río Negro,111176,1059,112235
448,2018,2,Salta,134166,1,134167
449,2018,2,San Juan,63443,658,64101
450,2018,2,San Luis,21168,300,21468
451,2018,2,Santa Cruz,33970,435,34405
452,2018,2,Santa Fe,684243,309,684552
453,2018,2,Santiago Del Estero,83773,2,83775
454,2018,2,Tierra Del Fuego,44199,508,44707
455,2018,2,Tucumán,169926,31,169957
456,2018,1,Buenos Aires,3464882,10564,3475446
457,2018,1,Capital Federal,1359882,6688,1366570
458,2018,1,Catamarca,33934,11,33945
459,2018,1,Chaco,96925,12,96937
460,2018,1,Chubut,95532,2427,97959
461,2018,1,Córdoba,713825,101,713926
462,2018,1,Corrientes,94406,11,94417
463,2018,1,Entre Ríos,197346,48,197394
464,2018,1,Formosa,32328,0,32328
465,2018,1,Jujuy,44405,1,44406
466,2018,1,La Pampa,82668,396,83064
467,2018,1,La Rioja,52228,17,52245
468,2018,1,Mendoza,199463,1484,200947
469,2018,1,Misiones,103580,0,103580
470,2018,1,Neuquén,115897,2006,117903
471,2018,1,Río Negro,110057,1062,111119
472,2018,1,Salta,133182,1,133183
473,2018,1,San Juan,62610,658,63268
474,2018,1,San Luis,21096,300,21396
475,2018,1,Santa Cruz,33970,435,34405
476,2018,1,Santa Fe,679717,309,680026
477,2018,1,Santiago Del Estero,82916,2,82918
478,2018,1,Tierra Del Fuego,31106,508,31614
479,2018,1,Tucumán,168026,31,168057
480,2017,4,Buenos Aires,3171206,10690,3181896
481,2017,4,Capital Federal,1575418,6906,1582324
482,2017,4,Catamarca,29548,10,29558
483,2017,4,Chaco,96603,12,96615
484,2017,4,Chubut,91012,2428,93440
485,2017,4,Córdoba,709874,105,709979
486,2017,4,Corrientes,93760,11,93771
487,2017,4,Entre Ríos,193654,49,193703
488,2017,4,Formosa,32056,0,32056
489,2017,4,Jujuy,43551,1,43552
490,2017,4,La Pampa,81675,396,82071
491,2017,4,La Rioja,52177,17,52194
492,2017,4,Mendoza,178661,1490,180151
493,2017,4,Misiones,103895,0,103895
494,2017,4,Neuquén,114965,2006,116971
495,2017,4,Río Negro,108702,1062,109764
496,2017,4,Salta,132811,1,132812
497,2017,4,San Juan,57965,659,58624
498,2017,4,San Luis,14604,300,14904
499,2017,4,Santa Cruz,29018,434,29452
500,2017,4,Santa Fe,672137,323,672460
501,2017,4,Santiago Del Estero,68842,2,68844
502,2017,4,Tierra Del Fuego,28346,508,28854
503,2017,4,Tucumán,162298,34,162332
504,2017,3,Buenos Aires,3046758,11202,3057960
505,2017,3,Capital Federal,1563289,7070,1570359
506,2017,3,Catamarca,33467,11,33478
507,2017,3,Chaco,93747,12,93759
508,2017,3,Chubut,81067,2477,83544
509,2017,3,Córdoba,696536,108,696644
510,2017,3,Corrientes,92536,12,92548
511,2017,3,Entre Ríos,185414,50,185464
512,2017,3,Formosa,32105,0,32105
513,2017,3,Jujuy,43241,1,43242
514,2017,3,La Pampa,79280,410,79690
515,2017,3,La Rioja,51896,17,51913
516,2017,3,Mendoza,190958,1533,192491
517,2017,3,Misiones,100476,0,100476
518,2017,3,Neuquén,113755,2029,115784
519,2017,3,Río Negro,106393,1103,107496
520,2017,3,Salta,132517,1,132518
521,2017,3,San Juan,61789,660,62449
522,2017,3,San Luis,21408,311,21719
523,2017,3,Santa Cruz,33222,468,33690
524,2017,3,Santa Fe,662086,256,662342
525,2017,3,Santiago Del Estero,82792,2,82794
526,2017,3,Tierra Del Fuego,30883,583,31466
527,2017,3,Tucumán,160979,33,161012
528,2017,2,Buenos Aires,3067430,11201,3078631
529,2017,2,Capital Federal,1592175,8016,1600191
530,2017,2,Catamarca,26692,13,26705
531,2017,2,Chaco,90597,14,90611
532,2017,2,Chubut,62245,1730,63975
533,2017,2,Córdoba,657505,133,657638
534,2017,2,Corrientes,90085,12,90097
535,2017,2,Entre Ríos,182675,57,182732
536,2017,2,Formosa,29956,0,29956
537,2017,2,Jujuy,42656,1,42657
538,2017,2,La Pampa,72573,449,73022
539,2017,2,La Rioja,16271,18,16289
